"type","language","license","rightsHolder","accessRights","datasetID","institutionCode","datasetName","basisOfRecord","occurrenceID","recordedBy","individualCount","occurrenceRemarks","samplingProtocol","samplingEffort","eventDate","continent","countryCode","municipality","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","identifiedBy","scientificName","kingdom","scientificNameAuthorship","nomenclaturalCode","status"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:19249","Rato",0,"Identified","Fish traps=3","times-visited=1","2020-2-7","Europe","BE","OUDENAARDE ",167632.726070886,92794.0267611374,"Lambert coordinates","Belgian Datum 72",50.8163242703631,3.55697290720308,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","absent"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:19313","Rato",,"","","times-visited=11","2020-2-10","Europe","BE","MALDEGEM ",217553.926975156,81697.9957760411,"Lambert coordinates","Belgian Datum 72",51.2638300617418,3.39020270887744,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN",
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:19690","Rato",,"","Fish traps=2","times-visited=2","2020-3-9","Europe","BE","OUDENAARDE ",169839.82315628,94458.6383058977,"Lambert coordinates","Belgian Datum 72",50.8363250811034,3.58026040281597,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN",
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:19689","Rato",2,"Catch","","times-visited=1","2020-3-9","Europe","BE","OUDENAARDE ",169850.29060396,94440.8985554998,"Lambert coordinates","Belgian Datum 72",50.8364174810734,3.58000700269317,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","present"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:19715","Rato",0,"Identified","","times-visited=4","2020-3-10","Europe","BE","DAMME ",216348.164969308,81911.7358909162,"Lambert coordinates","Belgian Datum 72",51.2530185592975,3.3934913159807,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","absent"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:19950","Rato",0,"Identified","Fish traps=1","times-visited=2","2020-4-2","Europe","BE","MALDEGEM ",216554.503155269,83013.5802010177,"Lambert coordinates","Belgian Datum 72",51.2550019633876,3.40923371957334,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","absent"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:19951","Rato",0,"Identified","Fish traps=3","times-visited=2","2020-4-2","Europe","BE","MALDEGEM ",216448.975024162,83037.1575992466,"Lambert coordinates","Belgian Datum 72",51.2540562631893,3.40959092021476,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","absent"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:19988","Rato",1,"Catch","Conibear trap=3","times-visited=5","2020-4-7","Europe","BE","KAPRIJKE ",213618.774669157,100231.728535914,"Lambert coordinates","Belgian Datum 72",51.2303574107096,3.65625460736595,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","present"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:20585","Rato",0,"Identified","Fish traps=1","times-visited=2","2020-5-11","Europe","BE","MALDEGEM ",215561.47600975,84167.6252444441,"Lambert coordinates","Belgian Datum 72",51.2462098645248,3.42594312954097,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","absent"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:20586","Rato",0,"Identified","Fish traps=3","times-visited=4","2020-5-11","Europe","BE","MALDEGEM ",215589.348486677,84225.4720067194,"Lambert coordinates","Belgian Datum 72",51.2464669647834,3.42676642964227,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","absent"
